Generation, Best Score, Average Score, Mutation Amplitude
1, 3645, 2687, 75
2, 4418, 2776, 100
3, 3798, 2816, 100
4, 3913, 2815, 100
5, 4404, 2846, 100
6, 3998, 2846, 100
7, 4312, 2846, 100
8, 4248, 2837, 100
9, 4388, 2830, 100
10, 4429, 2848, 100
11, 3960, 2832, 100
12, 4414, 2872, 100
13, 4218, 2837, 100
14, 4383, 2877, 100
15, 4213, 2832, 100
16, 4183, 2853, 100
17, 3977, 2835, 100
18, 4183, 2837, 100
19, 4537, 2855, 100
20, 4365, 2859, 100
21, 4439, 2825, 100
22, 4180, 2871, 100
23, 4513, 2882, 100
24, 4004, 2832, 100
25, 4029, 2816, 100
26, 3936, 2816, 100
27, 4122, 2818, 100
28, 4242, 2826, 100
29, 4354, 2842, 100
30, 4386, 2852, 100
31, 3971, 2825, 100
32, 3991, 2778, 100
33, 3774, 2790, 100
34, 4609, 2780, 100
35, 4368, 2791, 100
36, 3942, 2769, 100
37, 3784, 2783, 100
38, 4383, 2801, 100
39, 3993, 2854, 100
40, 4547, 2878, 100
41, 4251, 2861, 100
42, 4397, 2845, 100
43, 3745, 2840, 100
44, 4119, 2859, 100
45, 4488, 2876, 100
46, 4528, 2869, 100
47, 4275, 2877, 100
48, 4220, 2898, 100
49, 4639, 2891, 100
50, 4419, 2894, 100
51, 4419, 2894, 100
52, 1885, 1024, 75
53, 2479, 1084, 100
54, 2165, 1191, 100
55, 2316, 1155, 100
56, 2372, 1154, 100
57, 2618, 1162, 100
58, 2391, 1184, 100
59, 2308, 1182, 100
60, 2442, 1219, 100
61, 2267, 1212, 100
62, 2641, 1215, 100
63, 2405, 1182, 100
64, 2561, 1224, 100
65, 2521, 1194, 100
66, 2575, 1206, 100
67, 2575, 1206, 100
